# Trade Log
# Format: timestamp, symbol, action, entry, sl, tp, confidence, result
2026-04-19 04:37:04 | ATTEMPT | BTC/USDT | WAIT | conf:32 | Signal is WAIT
2026-04-27 02:44:04 | ATTEMPT | ETH/USDT | LONG | conf:74 | OK
2026-04-27 02:44:07 | SIGNAL | LONG | ZEC/USDT | conf:72% | OB stack + FVG partial fill + bullish trend continuation
2026-04-27 02:44:07 | ATTEMPT | ZEC/USDT | LONG | conf:72 | OK
2026-04-27 03:33:56 | SIGNAL | LONG | BTC/USDT | conf:78% | BOS Retest + FVG Confluence Long
2026-04-27 03:33:56 | ATTEMPT | BTC/USDT | LONG | conf:78 | R:R 1.00 below minimum 3.0
2026-04-27 08:18:41 | SIGNAL | LONG | ZEC/USDT | conf:76% | BOS Bullish + Bearish OB Resistance Watch
2026-04-27 08:18:41 | ATTEMPT | ZEC/USDT | LONG | conf:76 | R:R 2.08 below minimum 3.0
2026-04-27 08:18:58 | ATTEMPT | ZEC/USDT | LONG | conf:76 | R:R 2.08 below minimum 3.0
2026-04-27 08:24:47 | SIGNAL | LONG | ZEC/USDT | conf:82% | BOS Bullish Continuation + EMA Stack
2026-04-27 08:24:47 | ATTEMPT | ZEC/USDT | LONG | conf:82 | R:R 2.08 below minimum 3.0
